id,source,title,url,categories,start_date,end_date,lat,lng,location_name,address
1001,parks,"Bryant Park Movie Night",https://bryantpark.org/movies,"Outdoor Movie;Free",2026-07-06,2026-07-06,40.7536,-73.9832,"Bryant Park","Bryant Park, NY"
1002,parks,"SummerStage: Live in the Park",https://cityparksfoundation.org/summerstage,"Concert;Live Music",2026-07-12,2026-07-12,40.7711,-73.9685,"Rumsey Playfield","Central Park, NY"
1003,parks,"Coney Island Beach Day",https://nycgovparks.org/coney,"Beach",,,40.5755,-73.9876,"Coney Island Beach","1000 Surf Ave, Brooklyn"
1004,dycd,"Sunset Yoga in Prospect Park",https://prospectpark.org/yoga,"Yoga;Outdoor",2026-07-08,2026-07-08,40.6602,-73.9690,"Long Meadow","Prospect Park, Brooklyn"
1005,psal,"Pickup Soccer at Flushing Meadows",https://psal.org/soccer,"Sports",2026-07-15,2026-07-15,40.7466,-73.8422,"FMCP Fields","Flushing, Queens"
1006,parks,"Astoria Park Pool Open Swim",https://nycgovparks.org/astoria-pool,"Swimming;Pool",2026-07-01,2026-08-30,40.7795,-73.9229,"Astoria Pool","19th St, Queens"
1007,wcs,"Bronx Zoo Family Afternoon",https://bronxzoo.com,"Nature;Family",2026-07-20,2026-07-20,40.8506,-73.8769,"Bronx Zoo","2300 Southern Blvd, Bronx"
1008,parks,"Van Cortlandt Nature Trail Walk",https://nycgovparks.org/vc-trail,"Hiking;Trail",,,40.8976,-73.8916,"Van Cortlandt Park","Bronx"
1009,si-arts,"Snug Harbor Botanical Garden Tour",https://snug-harbor.org,"Garden;Art;Tour",2026-07-09,2026-07-09,40.6432,-74.1021,"Snug Harbor","1000 Richmond Terrace, Staten Island"
1010,nypl,"Intro to Coding Workshop",https://nypl.org/coding,"Coding;STEM;Tech",2026-07-05,2026-07-05,40.7532,-73.9822,"Stavros Niarchos Library","455 5th Ave, NY"
1011,bkpl,"Storytime for Little Explorers",https://bklynlibrary.org/storytime,"Story Time;Reading",2026-07-07,2026-07-07,40.6782,-73.9442,"Central Library","10 Grand Army Plaza, Brooklyn"
1012,parks,"Hudson River Kayaking (EXPIRED)",https://hudsonriverpark.org/kayak,"Kayaking",2026-06-01,2026-06-15,40.7280,-74.0120,"Pier 26","Hudson River Park, NY"
1013,parks,"Row With No Link",,"Sports",2026-07-10,2026-07-10,40.7000,-73.9000,"Somewhere","NY"
